Date,new_cases_10_min,income_support,contact_tracing,personal_income,Booster_Doses_12to18,new_cases_2_lag,restrictions_on_internal_movement,testing_policy,facial_coverings,debt_relief,new_cases_3_lag,current_intensive_care_patients,public_information_campaigns,new_cases_50_min,new_cases_30_lag,international_travel_controls,workplace_closing,public_transport_closing,school_closing,stay_at_home_requirements,new_cases_100_min,new_cases_1 lag,new_cases_4_lag,new_cases_7_lag,relative_humidity,new_cases_50_lag,cancel_public_events,HISP_BLACK,new_hospitalized_patients,restrictions_on_gatherings,new_cases_150_lag,new_cases_350_lag,Vaccine_available,new_cases_10_std,new_cases_50_mean,new_cases_10_max,Administered_Dose1_Recip_5to12,new_cases_100_max,NATIVE_PEOPLES,new_cases_100_mean,Series_Complete_5to12,new_cases_50_std,new_cases_100_std,new_cases_50_max,Booster_Doses_18to50,vaccination_policy,Series_Complete_12Pto18,vaccination_rate_1dose,maximum_temperature_celsius,Administered_Dose1_Recip_12to18,PEOPLE_POSITIVE_NEW_CASES_COUNT,STATE
2021-12-01,0.0,0.0,2.0,4529988,0.0,5731.0,1.0,3.0,2.0,1.0,4245.0,999.0,2.0,0.0,2461.0,4.0,0.0,0.0,0.0,0.0,0.0,6745.0,4222.0,6751.0,84.856706,4456.0,0.0,49653,594.0,0.0,0.0,5409.0,1,2651.6700481858843,4488.76,9143.0,0.0,9143.0,43192,5154.0,0.0,1636.1921268359374,1714.8005390984367,9143.0,621829.0,5.0,350394.0,0.5639683035396285,8.272222,388442.0,8944,6
2021-12-02,0.0,0.0,2.0,4529988,0.0,6745.0,1.0,3.0,2.0,1.0,5731.0,1007.0,2.0,0.0,3917.0,4.0,0.0,0.0,0.0,0.0,0.0,8944.0,4245.0,0.0,79.59016,5648.0,0.0,49653,576.0,0.0,210.0,11412.0,1,2822.34316560656,4558.42,9143.0,0.0,9143.0,43192,5204.14,0.0,1756.2892129695992,1756.9581899452028,9143.0,653999.0,5.0,351190.0,0.565398472774763,13.372222,389282.0,9131,6
2021-12-03,0.0,0.0,2.0,4529988,0.0,8944.0,1.0,3.0,2.0,1.0,6745.0,1041.0,2.0,0.0,4503.0,4.0,0.0,0.0,0.0,0.0,0.0,9131.0,5731.0,9143.0,73.405499,5143.0,0.0,49653,620.0,0.0,190.0,9684.0,1,3029.5781957965714,4647.24,9584.0,0.0,9584.0,43192,5253.98,0.0,1893.4005102583108,1809.551236181789,9584.0,647585.0,5.0,351656.0,0.5662208732116084,12.133333,389737.0,9584,6
2021-12-04,0.0,0.0,2.0,4529988,0.0,9131.0,1.0,3.0,2.0,1.0,8944.0,1034.0,2.0,0.0,4487.0,4.0,0.0,0.0,0.0,0.0,0.0,9584.0,6745.0,4222.0,75.72897,4937.0,0.0,49653,571.0,0.0,317.0,8567.0,1,3058.8741865088923,4704.36,9584.0,0.0,9584.0,43192,5277.96,0.0,1944.705106022321,1827.241459666072,9584.0,646691.0,5.0,352149.0,0.5672443898689786,8.3,390271.0,7793,6
2021-12-05,4222.0,0.0,2.0,4529988,0.0,9584.0,1.0,3.0,2.0,1.0,9131.0,1040.0,2.0,0.0,4348.0,4.0,0.0,0.0,0.0,0.0,0.0,7793.0,8944.0,4245.0,63.994559,3709.0,0.0,49653,532.0,0.0,377.0,8377.0,1,2105.571012549888,4736.86,9584.0,0.0,9584.0,43192,5282.75,0.0,1941.306692379924,1826.7492647503736,9584.0,635378.0,5.0,352640.0,0.5680598200902354,10.561111,390709.0,5334,6
2021-12-06,4222.0,0.0,2.0,4529988,0.0,7793.0,1.0,3.0,2.0,1.0,9584.0,1076.0,2.0,0.0,2791.0,4.0,0.0,0.0,0.0,0.0,0.0,5334.0,9131.0,5731.0,78.000144,2515.0,0.0,49653,562.0,0.0,354.0,6548.0,1,2070.4523633473004,4785.0,9584.0,0.0,9584.0,43192,5279.93,0.0,1914.747566886948,1827.089694741248,9584.0,635822.0,5.0,353080.0,0.5685016637564599,13.838889,390948.0,4922,6
2021-12-07,4245.0,0.0,2.0,4529988,0.0,5334.0,1.0,3.0,2.0,1.0,7793.0,1102.0,2.0,0.0,4363.0,4.0,0.0,0.0,0.0,0.0,0.0,4922.0,9584.0,6745.0,60.9516,2810.0,0.0,49653,594.0,0.0,299.0,7678.0,1,1907.3928250075728,4886.32,9584.0,0.0,9584.0,43192,5319.06,0.0,1941.9484370720097,1840.453330300312,9584.0,633140.0,5.0,353392.0,0.5687996829741944,-0.311111,391090.0,7876,6
2021-12-08,4922.0,0.0,2.0,4529988,0.0,4922.0,1.0,3.0,2.0,1.0,5334.0,1117.0,2.0,0.0,3122.0,4.0,0.0,0.0,0.0,0.0,0.0,7876.0,7793.0,8944.0,75.324208,3617.0,0.0,49653,680.0,0.0,231.0,7790.0,1,1693.2553820644732,4988.12,9584.0,145563.0,9584.0,43192,5375.22,57729.0,2006.394284811429,1857.3851206650847,9584.0,626221.0,5.0,354150.0,0.5699757793508553,0.672222,391700.0,8707,6
2021-12-09,4922.0,0.0,2.0,4529988,0.0,7876.0,1.0,3.0,2.0,1.0,4922.0,1129.0,2.0,0.0,4952.0,4.0,0.0,0.0,0.0,0.0,0.0,8707.0,5334.0,9131.0,77.400978,4574.0,0.0,49653,687.0,0.0,224.0,8828.0,1,1599.8945243016071,5066.64,9584.0,147556.0,9584.0,43192,5401.08,63547.0,2065.7993438330614,1882.790646832884,9584.0,538259.0,5.0,354645.0,0.5706199292744124,4.3,392045.0,8500,6
2021-12-10,4922.0,0.0,2.0,4529988,0.0,8707.0,1.0,3.0,2.0,1.0,7876.0,1138.0,2.0,0.0,5527.0,4.0,0.0,0.0,0.0,0.0,0.0,8500.0,4922.0,9584.0,71.274871,4084.0,0.0,49653,667.0,0.0,344.0,0.0,1,1568.3571730392252,5132.14,9584.0,150309.0,9584.0,43192,5403.65,70751.0,2085.8299381833413,1885.309563173461,9584.0,628769.0,5.0,355177.0,0.5715623534235914,13.522222,392549.0,7359,6
